district_name,state,enrollment,daily_instructional_minutes,lct_minutes,student_teacher_ratio
DUVAL,FL,127971.0,330,14.73,22.4
Clark County,NV,309394.0,310,14.74,21.0
BROWARD,FL,251408.0,300,14.76,20.3
POLK,FL,111041.0,305,16.23,18.8
MIAMI-DADE,FL,335500.0,330,16.47,20.0
Los Angeles Unified,CA,419929.0,323,16.71,19.3
HILLSBOROUGH,FL,224152.0,315,17.19,18.3
ORANGE,FL,206815.0,315,17.43,18.1
PALM BEACH,FL,189777.0,305,18.41,16.6
San Mateo Union High,CA,8841.0,360,18.6,19.4
