district_id,district_name,state,enrollment,instructional_staff,year,data_source,daily_instructional_minutes,lct_minutes,lct_hours,student_teacher_ratio,lct_percentile,lct_category
200625,Northwest Arctic Borough School District,AK,2009.0,105.5,2023-24,nces_ccd,360,18.9,0.32,19.0,16.0,Low (15-20 min)
200630,Pelican City School District,AK,15.0,2.0,2023-24,nces_ccd,360,48.0,0.8,7.5,94.8,Very High (>30 min)
200660,Petersburg Borough School District,AK,476.0,38.4,2023-24,nces_ccd,360,29.04,0.48,12.4,63.7,High (25-30 min)
200670,Pribilof School District,AK,58.0,5.1,2023-24,nces_ccd,360,31.66,0.53,11.4,74.2,Very High (>30 min)
200680,Saint Mary's School District,AK,191.0,12.28,2023-24,nces_ccd,360,23.15,0.39,15.6,33.3,Moderate (20-25 min)
200690,Skagway School District,AK,145.0,14.0,2023-24,nces_ccd,360,34.76,0.58,10.4,82.7,Very High (>30 min)
200700,Southeast Island School District,AK,194.0,18.9,2023-24,nces_ccd,360,35.07,0.58,10.3,83.3,Very High (>30 min)
200710,Southwest Region School District,AK,627.0,47.1,2023-24,nces_ccd,360,27.04,0.45,13.3,54.0,High (25-30 min)
200715,Tanana City School District,AK,32.0,3.01,2023-24,nces_ccd,360,33.86,0.56,10.6,80.6,Very High (>30 min)
200720,Unalaska City School District,AK,352.0,28.01,2023-24,nces_ccd,360,28.65,0.48,12.6,62.0,High (25-30 min)
200730,Chatham School District,AK,163.0,20.25,2023-24,nces_ccd,360,44.72,0.75,8.0,93.4,Very High (>30 min)
200760,Kuspuk School District,AK,325.0,31.0,2023-24,nces_ccd,360,34.34,0.57,10.5,81.7,Very High (>30 min)
200770,Denali Borough School District,AK,924.0,25.47,2023-24,nces_ccd,360,9.92,0.17,36.3,3.4,Very Low (<15 min)
200775,Yukon Flats School District,AK,190.0,23.5,2023-24,nces_ccd,360,44.53,0.74,8.1,93.3,Very High (>30 min)
200780,Valdez City School District,AK,573.0,49.99,2023-24,nces_ccd,360,31.41,0.52,11.5,73.3,Very High (>30 min)
200800,Chugach School District,AK,635.0,17.05,2023-24,nces_ccd,360,9.67,0.16,37.2,3.4,Very Low (<15 min)
200810,Wrangell Public School District,AK,271.0,21.18,2023-24,nces_ccd,360,28.14,0.47,12.8,59.4,High (25-30 min)
200840,Yakutat School District,AK,106.0,6.0,2023-24,nces_ccd,360,20.38,0.34,17.7,21.0,Moderate (20-25 min)
200862,Yukon-Koyukuk School District,AK,3620.0,70.85,2023-24,nces_ccd,360,7.05,0.12,51.1,2.9,Very Low (<15 min)
400001,Cave Creek Unified District (4244),AZ,4214.0,240.64,2023-24,nces_ccd,360,20.56,0.34,17.5,21.7,Moderate (20-25 min)
400003,Chino Valley Unified District (4474),AZ,2343.0,106.58,2023-24,nces_ccd,360,16.38,0.27,22.0,9.6,Low (15-20 min)
400004,Clarkdale-Jerome Elementary District (4486),AZ,473.0,25.0,2023-24,nces_ccd,360,19.03,0.32,18.9,16.4,Low (15-20 min)
400005,Salome Consolidated Elementary District (4514),AZ,109.0,9.0,2023-24,nces_ccd,360,29.72,0.5,12.1,66.5,High (25-30 min)
400021,Colorado City Unified District (4370),AZ,557.0,31.05,2023-24,nces_ccd,360,20.07,0.33,17.9,20.0,Moderate (20-25 min)
400022,Vernon Elementary District (4162),AZ,127.0,11.18,2023-24,nces_ccd,360,31.69,0.53,11.4,74.3,Very High (>30 min)
400023,Pinon Unified District (4390),AZ,1039.0,75.0,2023-24,nces_ccd,360,25.99,0.43,13.9,48.4,High (25-30 min)
400082,Colorado River Union High School District (4381),AZ,1875.0,90.01,2023-24,nces_ccd,360,17.28,0.29,20.8,11.8,Low (15-20 min)
400163,Coconino County Accommodation School District (10386),AZ,125.0,8.25,2023-24,nces_ccd,360,23.76,0.4,15.2,36.3,Moderate (20-25 min)
400197,Northern Arizona Vocational Institute of Technolog (78786),AZ,34.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
400212,Benson Unified School District (79226),AZ,1300.0,72.25,2023-24,nces_ccd,360,20.01,0.33,18.0,19.8,Moderate (20-25 min)
400295,Kingman Unified School District (79598),AZ,7263.0,327.37,2023-24,nces_ccd,360,16.23,0.27,22.2,9.2,Low (15-20 min)
400315,Yavapai Accommodation School District (79379),AZ,86.0,6.0,2023-24,nces_ccd,360,25.12,0.42,14.3,43.9,High (25-30 min)
400316,Cobre Valley Institute of Technology District (79391),AZ,4.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
400341,Valley Academy for Career and Technology Education (79397),AZ,13.0,4.54,2023-24,nces_ccd,360,125.72,2.1,2.9,99.3,Very High (>30 min)
400345,Cochise Technology District (79403),AZ,27.0,0.14,2023-24,nces_ccd,360,1.87,0.03,192.9,2.5,Very Low (<15 min)
400347,Coconino Association for Vocation Industry and Tec (79381),AZ,5.0,0.0,2023-24,nces_ccd,360,0.0,0.0,inf,1.2,Unknown
400348,Central Arizona Valley Institute of Technology (79385),AZ,52.0,13.1,2023-24,nces_ccd,360,90.69,1.51,4.0,98.8,Very High (>30 min)
400349,Gila Institute for Technology (79387),AZ,23.0,4.0,2023-24,nces_ccd,360,62.61,1.04,5.8,97.5,Very High (>30 min)
400450,Agua Fria Union High School District (4289),AZ,9855.0,462.4,2023-24,nces_ccd,360,16.89,0.28,21.3,10.9,Low (15-20 min)
400480,Aguila Elementary District (4249),AZ,146.0,12.0,2023-24,nces_ccd,360,29.59,0.49,12.2,66.0,High (25-30 min)
400520,Ajo Unified District (4409),AZ,400.0,23.0,2023-24,nces_ccd,360,20.7,0.34,17.4,22.2,Moderate (20-25 min)
400600,Alhambra Elementary District (4280),AZ,9854.0,574.4,2023-24,nces_ccd,360,20.98,0.35,17.2,23.5,Moderate (20-25 min)
400612,Northeast Arizona Technological Institute of Vocat (81114),AZ,110.0,2.0,2023-24,nces_ccd,360,6.55,0.11,55.0,2.8,Very Low (<15 min)
